cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgzRwGE1uN4WQnnL3k94AaABAg,"I have watched this movie so many times, I have lost count. And every time, it is like the first time I watched it. Same emotional roller coaster, a master piece.",2 years ago,@berniegaona9920,UCeTHDJyRaiYUKbSLiWqy6Tg,4,https://yt3.ggpht.com/ytc/AIdro_nN1_lFXfsKvHOcNSkNGFkgCmfbqDkHuI7__VNPnHDw=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.965835
UgyHK67_mTy2xPFk5Ip4AaABAg,Nolan plus zimmer = masterpiece forever,2 years ago,@ponce1741,UCCL17S2jGBpWxz_p-kcBKRA,0,https://yt3.ggpht.com/ytc/AIdro_lqAR2utd6-H7eIR_Xou9FXRa71uOQzsluppnrXOvo=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.967222
Ugy-gMmeftM5LMpiLvZ4AaABAg,كيف سيكون شعورك عندما تترك ابنتك التي تحبها لسنتين ثم تجدها كبرت فوق مئة سنة فلم آلمتني نهايته,2 years ago,@karim.pubg1,UCItbaTLdGPXH7F91szgdaCA,0,https://yt3.ggpht.com/ytc/AIdro_lZk3HNN9QFWfP7mcLlednZJvqwlnhI6knH6DHjHCIg7fG_CNrt4gnxZef3BFUGk6h0dg=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.969111
Ugwt00PZuk7nrZMgmUF4AaABAg,This movie 🥺🥺🥺,2 years ago,@UnwogglingPhysics,UCANM_HIe65a_ZMw1bYJqhjQ,1,https://yt3.ggpht.com/qzEQqYN-jzLBVDGqPL2x1Yjhah7tmzHTGQ0aGJZnkIG_d0b4n5b6cbkRbu-OBFfai-Fv8qkz=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.970938
UgzuZyvGYsSSKRSUKpZ4AaABAg,Song,2 years ago,@houssam_simba,UC5hqEtGAiKUvUK_QA86WAbA,0,https://yt3.ggpht.com/Az5gtRrhRDzP7vcG9EYvLvNX9rcPfYUmKtNDPkd5IR9quDgDJcSdLlvi4zKlNJoiFuLZd3SA=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.972854
Ugxe0iWFnh-UaLABd1l4AaABAg,ill never forget the first time i saw this movie or the person i was watching it with.,2 years ago,@fudge8373,UCxvp3PHprOSAnPK50_MlFyg,0,https://yt3.ggpht.com/ytc/AIdro_l27VTVgzhVYVTqHIjoMYK0Zem-cpK-zftX5KL1NXROW0s=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.974423
UgxIm3AaqwMJRv23MBd4AaABAg,I am here only because my best friend is forcing me into assessing a guy's instrumental skills and it's traumatic. Save me.,2 years ago,@tanishqa6765,UCKlDqaZHr04krrQA1xB467A,0,https://yt3.ggpht.com/ytc/AIdro_mERZbxN0KgtugnSBcyfphm87H2_j8deoFZN3C3fRVwx3k=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.975997
UgxSItIM5cMthkzk3DF4AaABAg,"Perfect cuts .. gave me goosebumps, tears, happiness... 8 minutes video with music and vision of master Nolan... Simply wow",2 years ago,@RudhrashankarKBE,UChbEV3_ejJ7anrR91fa1PtQ,0,https://yt3.ggpht.com/ytc/AIdro_mY_C_uOD-npRSD4k4716HWOnKJEO9H1vzcRlnXvdSWjFQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.97785
UgyHpvObK5-LKCmgZtZ4AaABAg,"4:29 I'll never forget this scene. The look on his face, the feelings, emotions and realization of seeing his kids all grown up and having missed that, knowing that he coudn't be a part of it. So much he lost and for him, in such a short time. What a painful feeling it must be, my eyes drown every time. A beautiful scene. I wish I could forget this movie, so I could watch it for the first time again. What a masterpiece!",2 years ago,@CalebeOwsiany,UCqFILkIgdU-44tEfISZWRpw,1.4K,https://yt3.ggpht.com/ytc/AIdro_mk8ApNTK6x2WmXEooiGP7ISTtm2Ph0mmIS7Rsrcbo0wpKT=s88-c-k-c0x00ffffff-no-rj,True,False,1678475498.980361
UgzYcOHdUde_nQq-f-t4AaABAg,6:30,2 years ago,@mayank9343,UCfR9abkwKy8Z3EBySyKNWWQ,0,https://yt3.ggpht.com/0VJN5MaYDTyV_zWZtto-qISUrhLKgVnhYgLFeIcaQtpBWh3tWhiHRA9mSCgaDO_M8Xb89JgE9mo=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.98242
UgxOJDW5yLTekWhKrmd4AaABAg,i teared up listening to this for 100th time today. i am not weak I am just emotional,2 years ago,@friendlyatheist9589,UCvf0TjtbLmdSv8yD4gcqZaw,0,https://yt3.ggpht.com/xcOumsfBEii-05JaYiYgUi4HEpyj7_ULt5GLH-cSJ3i1YgV8xv2QWwlOnz0VtlunuEUBevvB0Q=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.984144
UgxgRNbvUkSeVvvkEc14AaABAg,"After watching this film, it seemed as though all of our problems and concerns were futile and meaningless. Despite our best efforts, there are much greater things happening in the cosmos that we will never be able to experience. This doesn't make us sad, but rather leaves us feeling hollow inside.",2 years ago,@Trojan_Zeus,UCQizIk1cL2IndUsWr3GlLyg,0,https://yt3.ggpht.com/sxou2VHxTy8CvIvF8ecqclQRgZLnbPpxqBjacV_iD3-yncRjDlZBW4YdO6sYURXkKcoWDs8v=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.985757
UgxX0uXKxvEzk_CziTV4AaABAg,"song wouldn't have been made without the movie, movie/song/acting/filming everything about this movie is amazing",2 years ago,@StormBlessedxo,UCXG4VCsssOpqjmj4c-dsq-A,0,https://yt3.ggpht.com/DGFOXxiLAPf9FVtNFUB5NQVzn1rA5EWD0xe4d5m7Q5giqMXaupqNnC6KXgtHWCA2iWkmNg73=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.987291
UgypXyKWcjrjSfl4Vrd4AaABAg,I swear. I have listened this music so many times. And watched the movie climax counless times. But every single time I noticed my eyes are wet,2 years ago,@wellbeing_motivation,UC0M14JwQLxn7JU9RqunE-MA,4,https://yt3.ggpht.com/gr72__SZ-W1P_KhCPsEHe4tFeqSMLUuwuSpnNZFlkxcMuTrK0lRfyGtdpKOfxOqjNzyaTuovUA=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.988754
UgzyXUKAYTMFceq46BZ4AaABAg,"the only thing that comes to my mind while thinking about INTERSTELLAR is that ,this movie could be a MASTERPIECE or a DISASTER ,, when we finally understand the things which are beyond our knowledge ""FOR NOW""",2 years ago,@utkarshhumeibhai9951,UC9SGBk82KQAkyqlgSBnrQHw,1,https://yt3.ggpht.com/K_hMzhOjGJFt_nk9to363RCFT7kzBwTYZbw_Z1PSYNsXbOPTJg3g9EvXb2B-ghEOZozxHE6Zig=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.990206
